=== TABLE: ai_code_hashes ===
hash      source    fileExtension  fileName                                                         requestId  conversationId                        timestamp      createdAt    
--------  --------  -------------  ---------------------------------------------------------------  ---------  ------------------------------------  -------------  -------------
80ec88a   composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
b072ad7b  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
28a85fce  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
79003b5a  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
186bd503  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
a71b5ee9  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
6bc4b31d  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
80b21cb5  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
4075df96  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
70c77212  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
2d968ec3  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
ac05d4f3  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
2006f53f  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
144ae2ad  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
400911c2  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
7da97ac8  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
91cdd9f6  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
5fc41da5  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
53d55553  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
48ef6ad0  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
3e43153f  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
7ef9738e  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
aa612e11  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
7f69e579  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
22c53812  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
d9af8085  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
9a35e84   composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
8222dffe  composer  yml            /c:/masm64-framework/.github/dependabot.yml                                 36c42e2b-9a84-4196-aae0-7001c138d639  1768353264484  1768353264484
c8a05d1e  composer  yml            /c:/masm64-framework/.github/dependabot.yml                                 36c42e2b-9a84-4196-aae0-7001c138d639  1768353264484  1768353264484
879b7d0f  composer  yml            /c:/masm64-framework/.github/dependabot.yml                                 36c42e2b-9a84-4196-aae0-7001c138d639  1768353264484  1768353264484
